md5,size,file
68a639fb8cdd175bcd409752121afd39,81,C:\Windows\Web\Wallpaper\Architecture\Desktop.ini
e7e062867a280d8868f26e88e68c66e0,1231580,C:\Windows\Web\Wallpaper\Architecture\img13.jpg
ab9061f6b16b4f0564986eec9b66df87,1526083,C:\Windows\Web\Wallpaper\Architecture\img14.jpg
0fb5482f8d63a78d1dee368a453949ea,1492201,C:\Windows\Web\Wallpaper\Architecture\img15.jpg
0582db85989c15605d473a1341225feb,1236846,C:\Windows\Web\Wallpaper\Architecture\img16.jpg
ff8d0af639698045eb4f12de3c4fb5b1,1388763,C:\Windows\Web\Wallpaper\Architecture\img17.jpg
c36b5e795aabd9dbb80eb314a72675e5,691271,C:\Windows\Web\Wallpaper\Architecture\img18.jpg
f7ea25d492524f5db83ee3c72c41f046,81,C:\Windows\Web\Wallpaper\Characters\Desktop.ini
9e5c66ac88d1e0e4dd9d58922e8d5b0e,1472847,C:\Windows\Web\Wallpaper\Characters\img19.jpg
591c77f77b9d934d8933e8e11f8cfd93,1226804,C:\Windows\Web\Wallpaper\Characters\img20.jpg
6be63a5909a14b33ec9f8dd9c6b1d40c,1339575,C:\Windows\Web\Wallpaper\Characters\img21.jpg
0c7360bb542c117360b9348edf589b32,1763722,C:\Windows\Web\Wallpaper\Characters\img22.jpg
8eefb0e6de992b307265b73f01551c12,1458275,C:\Windows\Web\Wallpaper\Characters\img23.jpg
4e8249b4274242cd67c9a1542d6b4f56,579776,C:\Windows\Web\Wallpaper\Characters\img24.jpg
dc3889e3af413729611f44400039aa06,81,C:\Windows\Web\Wallpaper\Landscapes\Desktop.ini
9aebebac92e6bf3b4009f79be3549b5a,1524390,C:\Windows\Web\Wallpaper\Landscapes\img10.jpg
0c7c0f9c00782be53973727ee2e07964,1383577,C:\Windows\Web\Wallpaper\Landscapes\img11.jpg
869817ec1f18b41cd8bbe3a8f2182b87,1547988,C:\Windows\Web\Wallpaper\Landscapes\img12.jpg
cdf80f35aba322d5d0e6b6f6fe0b2995,1216877,C:\Windows\Web\Wallpaper\Landscapes\img7.jpg
28c6a2b1cccb276b6d905d4a0aff22c3,708479,C:\Windows\Web\Wallpaper\Landscapes\img8.jpg
97277a97cd2582d4bbf06fc151d0c585,1156534,C:\Windows\Web\Wallpaper\Landscapes\img9.jpg
de6d458e0aab1e588cfaa1a041a74333,81,C:\Windows\Web\Wallpaper\Nature\Desktop.ini
75e3b2030f5eeb98485d970d05fbb089,1425244,C:\Windows\Web\Wallpaper\Nature\img1.jpg
ae3200671148f481f2a9fbc2a94273f1,1321314,C:\Windows\Web\Wallpaper\Nature\img2.jpg
042336266b334c3c0a7ab992300b5063,1476388,C:\Windows\Web\Wallpaper\Nature\img3.jpg
d797b9223257e99cfe8b8b9e92a2f98c,1533423,C:\Windows\Web\Wallpaper\Nature\img4.jpg
54d68e5e23a734e6588ee8821009131b,1180623,C:\Windows\Web\Wallpaper\Nature\img5.jpg
d196fac0caf8f3cfa6ff433edc9a2362,957664,C:\Windows\Web\Wallpaper\Nature\img6.jpg
b38a304f579c28439f3defe073685732,81,C:\Windows\Web\Wallpaper\Scenes\Desktop.ini
5002da18d49667b7aa45066709e87d87,1817109,C:\Windows\Web\Wallpaper\Scenes\img25.jpg
289bdf7f75c0c66731578617c79fced3,1705028,C:\Windows\Web\Wallpaper\Scenes\img26.jpg
91792bac763858ca5801d7060d3a86ca,2064294,C:\Windows\Web\Wallpaper\Scenes\img27.jpg
523324d261730991f00f4d59aa5caa51,988938,C:\Windows\Web\Wallpaper\Scenes\img28.jpg
8bedaaf4afa8818035f5475afbf61ff5,1384367,C:\Windows\Web\Wallpaper\Scenes\img29.jpg
ca664a247f1d3544b989b50ecf7a11fe,1238055,C:\Windows\Web\Wallpaper\Scenes\img30.jpg
da288dceaafd7c97f1b09c594eac7868,642987,C:\Windows\Web\Wallpaper\Windows\img0.jpg
68a639fb8cdd175bcd409752121afd39,81,C:\Windows\Web\Wallpaper\Architecture\Desktop.ini
e7e062867a280d8868f26e88e68c66e0,1231580,C:\Windows\Web\Wallpaper\Architecture\img13.jpg
ab9061f6b16b4f0564986eec9b66df87,1526083,C:\Windows\Web\Wallpaper\Architecture\img14.jpg
0fb5482f8d63a78d1dee368a453949ea,1492201,C:\Windows\Web\Wallpaper\Architecture\img15.jpg
0582db85989c15605d473a1341225feb,1236846,C:\Windows\Web\Wallpaper\Architecture\img16.jpg
ff8d0af639698045eb4f12de3c4fb5b1,1388763,C:\Windows\Web\Wallpaper\Architecture\img17.jpg
c36b5e795aabd9dbb80eb314a72675e5,691271,C:\Windows\Web\Wallpaper\Architecture\img18.jpg
f7ea25d492524f5db83ee3c72c41f046,81,C:\Windows\Web\Wallpaper\Characters\Desktop.ini
9e5c66ac88d1e0e4dd9d58922e8d5b0e,1472847,C:\Windows\Web\Wallpaper\Characters\img19.jpg
591c77f77b9d934d8933e8e11f8cfd93,1226804,C:\Windows\Web\Wallpaper\Characters\img20.jpg
6be63a5909a14b33ec9f8dd9c6b1d40c,1339575,C:\Windows\Web\Wallpaper\Characters\img21.jpg
0c7360bb542c117360b9348edf589b32,1763722,C:\Windows\Web\Wallpaper\Characters\img22.jpg
8eefb0e6de992b307265b73f01551c12,1458275,C:\Windows\Web\Wallpaper\Characters\img23.jpg
4e8249b4274242cd67c9a1542d6b4f56,579776,C:\Windows\Web\Wallpaper\Characters\img24.jpg
dc3889e3af413729611f44400039aa06,81,C:\Windows\Web\Wallpaper\Landscapes\Desktop.ini
9aebebac92e6bf3b4009f79be3549b5a,1524390,C:\Windows\Web\Wallpaper\Landscapes\img10.jpg
0c7c0f9c00782be53973727ee2e07964,1383577,C:\Windows\Web\Wallpaper\Landscapes\img11.jpg
869817ec1f18b41cd8bbe3a8f2182b87,1547988,C:\Windows\Web\Wallpaper\Landscapes\img12.jpg
cdf80f35aba322d5d0e6b6f6fe0b2995,1216877,C:\Windows\Web\Wallpaper\Landscapes\img7.jpg
28c6a2b1cccb276b6d905d4a0aff22c3,708479,C:\Windows\Web\Wallpaper\Landscapes\img8.jpg
97277a97cd2582d4bbf06fc151d0c585,1156534,C:\Windows\Web\Wallpaper\Landscapes\img9.jpg
de6d458e0aab1e588cfaa1a041a74333,81,C:\Windows\Web\Wallpaper\Nature\Desktop.ini
75e3b2030f5eeb98485d970d05fbb089,1425244,C:\Windows\Web\Wallpaper\Nature\img1.jpg
ae3200671148f481f2a9fbc2a94273f1,1321314,C:\Windows\Web\Wallpaper\Nature\img2.jpg
042336266b334c3c0a7ab992300b5063,1476388,C:\Windows\Web\Wallpaper\Nature\img3.jpg
